,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,region,ambito,edu,edu2,ocupa,ocupa2,p01,p01otro,p02,p03,p04,p05_1,p05_2,p05_3,p05_4,p06_1,p06_2,p06_3,p06_4,p06_5,p06_6,p06_7,p06_8,p06_9,p06_10,p07,p07otro,p08,p08otro,p11,p12,p12a,p13,p13a,p15_1,p15_2,p15_3,p15_4,PONDERADOR,PERCENTAGE,periodo
1138,1138,1138,1138,160723884,NSE C1,NSE C,NSE C,42,De 40 a más años,SI,Mujer,Arequipa,Arequipa,40101,Sur,2,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Derecha,Derecha,Muy probable,Algo probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1139,1139,1139,1139,160723962,NSE B2,NSE B,NSE A/B,41,De 40 a más años,SI,Mujer,La Libertad,Trujillo,130101,Norte,1,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,NS/NP, ,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1140,1140,1140,1140,160724069,NSE C2,NSE C,NSE C,45,De 40 a más años,SI,Mujer,Tacna,Tacna,230101,Sur,1,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,NS/NP,Aprueba,NS/NP,No conoce,No conoce,No conoce,No conoce,NS/NP,No conoce,Desaprueba,No conoce,No conoce,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,NS/NP,NS/NP,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1141,1141,1141,1141,160724508,NSE A2,NSE A,NSE A/B,45,De 40 a más años,SI,Hombre,Junín,Huancayo,120101,Centro,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,NS/NP, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,NS/NP,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1142,1142,1142,1142,160724511,NSE B1,NSE B,NSE A/B,45,De 40 a más años,SI,Hombre,Arequipa,Arequipa,40101,Sur,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Inseguridad, ,Aprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1143,1143,1143,1143,160724584,NSE C1,NSE C,NSE C,30,De 25 a 39 años,SI,Mujer,Arequipa,Arequipa,40101,Sur,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Covid19/pandemia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,Sí,Desaprueba,Centro,Centro,Muy probable,Algo probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
1144,1144,1144,1144,160724770,NSE C1,NSE C,NSE C,60,De 40 a más años,SI,Mujer,Ica,Ica,110101,Sur,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1145,1145,1145,1145,160725222,NSE C1,NSE C,NSE C,55,De 40 a más años,SI,Mujer,Piura,Piura,200101,Norte,1,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Aprueba,Centro,Centro,Muy probable,Algo probable,Algo probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1146,1146,1146,1146,160725285,NSE B1,NSE B,NSE A/B,30,De 25 a 39 años,SI,Mujer,Lima,Lima,150114,Lima Metropolitana,1,Lima Metropolitana,Posgrado universitario,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.6125,0.050622470426146156,NOVIEMBRE 2021
1147,1147,1147,1147,160725366,NSE C1,NSE C,NSE C,29,De 25 a 39 años,SI,Mujer,Lambayeque,Chiclayo,140117,Norte,1,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Economia, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
1148,1148,1148,1148,160725680,NSE D,NSE D,NSE D/E,47,De 40 a más años,SI,Mujer,Junín,Huancayo,120101,Centro,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1149,1149,1149,1149,160725845,NSE B2,NSE B,NSE A/B,45,De 40 a más años,SI,Mujer,Cusco,Cusco,80101,Sur,2,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Educacion, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1150,1150,1150,1150,160726030,NSE A2,NSE A,NSE A/B,70,De 40 a más años,SI,Mujer,Lima,Prov. Const. del Callao,70105,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Algo probable,0.4173,0.03448939903482578,NOVIEMBRE 2021
1151,1151,1151,1151,160726061,NSE C2,NSE C,NSE C,44,De 40 a más años,SI,Mujer,Junín,Huancayo,120114,Centro,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1152,1152,1152,1152,160726261,NSE D,NSE D,NSE D/E,45,De 40 a más años,SI,Mujer,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Inseguridad, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1153,1153,1153,1153,160726362,NSE A2,NSE A,NSE A/B,49,De 40 a más años,SI,Mujer,Lima,Lima,150107,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria incompleta,Educacion superior,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.4173,0.03448939903482578,NOVIEMBRE 2021
1154,1154,1154,1154,160726460,NSE B1,NSE B,NSE A/B,53,De 40 a más años,SI,Hombre,San Martín,San Martín,220901,Selva,3,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Inestabilidad política,EL PRESIDENTE CASTILLO NO ES UN BUEN PRESIDENTE Y NO ESTA PREPARADO PARA GOBERNAR EL PAIS,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Muy probable,Poco probable,Poco probable,Poco probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1155,1155,1155,1155,160726570,NSE C1,NSE C,NSE C,27,De 25 a 39 años,SI,Hombre,Tacna,Tacna,230104,Sur,1,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Inseguridad, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Izquierda,Izquierda,Algo probable,Muy probable,Algo probable,Algo probable,0.878,0.07256576168841848,NOVIEMBRE 2021
1156,1156,1156,1156,160726606,NSE A2,NSE A,NSE A/B,52,De 40 a más años,SI,Hombre,Ica,Ica,110101,Sur,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1157,1157,1157,1157,160726689,NSE B2,NSE B,NSE A/B,46,De 40 a más años,SI,Mujer,Tacna,Tacna,230102,Sur,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Poco probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1158,1158,1158,1158,160726707,NSE C1,NSE C,NSE C,45,De 40 a más años,SI,Hombre,Loreto,Maynas,160101,Selva,3,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Inseguridad, ,Desaprueba,99,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,NS/NP,No conoce,No conoce,No conoce,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,No tiene nada positivo,NINGUNA DE LAS OPCIONES,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Algo probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1159,1159,1159,1159,160727066,NSE A2,NSE A,NSE A/B,42,De 40 a más años,SI,Hombre,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Posgrado universitario,Educacion superior,-1,-1,Inestabilidad política, ,Aprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1160,1160,1160,1160,160727184,NSE C1,NSE C,NSE C,66,De 40 a más años,SI,Hombre,Cajamarca,Chota,60401,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1161,1161,1161,1161,160727481,NSE D,NSE D,NSE D/E,62,De 40 a más años,SI,Mujer,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP, ,La falta de gente capacitada, ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Izquierda,Izquierda,Nada probable,Nada probable,Algo probable,Nada probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1162,1162,1162,1162,160727866,NSE C1,NSE C,NSE C,69,De 40 a más años,SI,Hombre,Ayacucho,Huamanga,50101,Sur,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,NS/NP,Nada probable,Nada probable,Nada probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1163,1163,1163,1163,160727892,NSE B2,NSE B,NSE A/B,43,De 40 a más años,SI,Hombre,Ica,Ica,110101,Sur,1,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Empleo, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Algo probable,Muy probable,Algo probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1164,1164,1164,1164,160727976,NSE C1,NSE C,NSE C,41,De 40 a más años,SI,Mujer,Junín,Huancayo,120101,Centro,2,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Falta de transparencia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1165,1165,1165,1165,160728009,NSE C1,NSE C,NSE C,55,De 40 a más años,SI,Hombre,Lima,Prov. Const. del Callao,70101,Lima Metropolitana,1,Lima Metropolitana,Secundaria incompleta,Educacion Basica,-1,-1,Inestabilidad política,EL PESIDENTE PEDRO CASTILLO,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,1.3367,0.1104768264793952,NOVIEMBRE 2021
1166,1166,1166,1166,160728093,NSE D,NSE D,NSE D/E,62,De 40 a más años,SI,Hombre,Arequipa,Islay,40703,Sur,1,Peru rural,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,NS/NP,Aprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,No conoce,Desaprueba,No conoce,Desaprueba,Aprueba,No conoce,No conoce,No conoce,Ahorran y no malgastan su presupuesto, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Algo probable,Algo probable,Muy probable,Muy probable,1.4135,0.1168242644038491,NOVIEMBRE 2021
1167,1167,1167,1167,160728259,NSE C2,NSE C,NSE C,42,De 40 a más años,SI,Mujer,Cajamarca,Chota,60401,Norte,2,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Algo probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1168,1168,1168,1168,160728416,NSE A2,NSE A,NSE A/B,40,De 40 a más años,SI,Hombre,La Libertad,Trujillo,130101,Norte,1,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Educacion, ,Desaprueba,99,No terminará su gobierno,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,No conoce,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Derecha,Derecha,Muy probable,Poco probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1169,1169,1169,1169,160728425,NSE B1,NSE B,NSE A/B,42,De 40 a más años,SI,Mujer,Tumbes,Tumbes,240101,Norte,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,No conoce,Aprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Aprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1170,1170,1170,1170,160728539,NSE C1,NSE C,NSE C,56,De 40 a más años,SI,Hombre,Huánuco,Pachitea,100804,Centro,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Inestabilidad política, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,No conoce,No tiene nada positivo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
1171,1171,1171,1171,160728805,NSE D,NSE D,NSE D/E,62,De 40 a más años,SI,Mujer,Huancavelica,Huancavelica,90101,Centro,2,Peru urbano,Secundaria incompleta,Educacion Basica,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,NS/NP,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Aprueba,Centro,Centro,Muy probable,NS/NP,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1172,1172,1172,1172,160728984,NSE B1,NSE B,NSE A/B,46,De 40 a más años,SI,Mujer,Lima,Lima,150142,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.659,0.054465645731967854,NOVIEMBRE 2021
1173,1173,1173,1173,160729000,NSE C1,NSE C,NSE C,41,De 40 a más años,SI,Mujer,Áncash,Huarmey,21101,Norte,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Las leyes que han hecho en estos meses son buenas, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
1174,1174,1174,1174,160729311,NSE D,NSE D,NSE D/E,45,De 40 a más años,SI,Mujer,Cajamarca,Cajamarca,60101,Norte,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Inseguridad, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Algo probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
